height,width,attempt,pair,order,kernel,repetitions,total_ms,ms_per_launch,gstencil_per_second
2048,7168,0,9,BA,variant,11,149.973312,13.633937454545453,1.0767295983968135
2048,7168,0,10,AB,baseline,13,155.53981,11.964600769230769,1.2269581144531423
2048,7168,0,10,AB,variant,11,150.429092,13.675372,1.0734672519328907
2048,7168,0,11,BA,baseline,13,156.096771,12.007443923076922,1.222580267211293
2048,7168,0,11,BA,variant,11,150.436096,13.676008727272727,1.0734172734713883
2048,7168,0,12,AB,baseline,13,156.104324,12.008024923076922,1.2225211135086815
2048,7168,0,12,AB,variant,11,150.416199,13.674199909090909,1.0735592647172265
2048,7168,0,13,BA,baseline,13,156.085312,12.006562461538461,1.2226700229166982
2048,7168,0,13,BA,variant,11,150.419525,13.674502272727272,1.0735355267210158
2048,7168,0,14,AB,baseline,13,156.058182,12.004475538461538,1.222882578498832
2048,7168,0,14,AB,variant,11,150.421982,13.674725636363638,1.073517991539295
2048,7168,0,15,BA,baseline,13,156.13945,12.010726923076923,1.222246088352431
2048,7168,0,15,BA,variant,11,150.444763,13.676796636363635,1.073355434778411
2048,7168,0,16,AB,baseline,13,156.08876,12.006827692307693,1.2226430141414408
2048,7168,0,16,AB,variant,11,150.447357,13.677032454545456,1.0733369280791019
2048,7168,0,17,BA,baseline,13,156.147079,12.01131376923077,1.222186372119071
2048,7168,0,17,BA,variant,11,150.449158,13.677196181818182,1.0733240793544354
2048,7168,0,18,AB,baseline,13,156.090332,12.006948615384614,1.222630700791898
2048,7168,0,18,AB,variant,11,150.447174,13.677015818181816,1.0733382336580148
2048,7168,0,19,BA,baseline,13,156.139328,12.010717538461538,1.2222470433586086
2048,7168,0,19,BA,variant,11,150.453217,13.677565181818181,1.0732951226958478
2048,7168,0,20,AB,baseline,13,156.126587,12.009737461538462,1.222346787097831
2048,7168,0,20,AB,variant,11,150.516068,13.683278909090909,1.0728469468123496
